matID,P,A,S,S_category,C,NODFst,N_lowHigh,NODFc,rho_mean0,rho_mean1,fPersP0,fPersP1,criterion_check0,criterion_check1
1,10,34,44,1,0.19118,0.87783,1,3.616696028,NaN,0.0482515112155609,0.7,1,1,1
2,11,36,47,1,0.33586,0.28283,1,1.387612311,0.0503182545186446,0.0500002557331503,1,1,1,1
3,12,29,41,1,0.24138,0.5594,1,2.033126184,NaN,0.0486577041656344,0.666666666666667,1,1,1
4,10,37,47,1,0.3027,0.079279,0,1.196609714,0.048800178467866,0.048699737141501,1,1,1,1
5,12,35,47,1,0.2381,0.30292,1,1.589549218,NaN,0.0517087456443374,0.916666666666667,1,1,1
6,10,26,36,1,0.21538,0.31318,1,2.022410357,NaN,0.0507905147208417,0.8,1,1,1
7,12,35,47,1,0.27381,0.168,0,1.279997891,NaN,0.0504355437952099,0.916666666666667,1,1,1
8,9,36,45,1,0.2963,0.31552,1,1.620508155,NaN,0.0515771108495564,0.777777777777778,1,1,1
9,12,11,23,1,0.18939,0.70975,1,4.602527578,NaN,NaN,0.5,0.666666666666667,1,1
10,11,25,36,1,0.30182,0.37024,1,1.66460757,NaN,NaN,0.818181818181818,0.909090909090909,1,1
11,9,30,39,1,0.28889,0.083067,0,1.403667027,NaN,0.0500826946189793,0.888888888888889,1,1,1
12,9,35,44,1,0.28889,0.28688,1,1.643260605,NaN,0.0519045223154393,0.777777777777778,1,1,1
13,9,36,45,1,0.32407,0.078613,0,1.222716393,0.0478575672597503,0.0477153551990323,1,1,1,1
14,10,33,43,1,0.23636,0.62278,1,2.478743495,NaN,0.0510244500750976,0.8,1,1,1
15,11,37,48,1,0.30467,0.29045,1,1.443371812,NaN,0.0496241478137835,0.909090909090909,1,1,1
16,11,24,35,1,0.28788,0.23044,1,1.497198492,0.0508438686630712,0.0506161494980675,1,1,1,1
17,8,37,45,1,0.17905,0.6153,1,4.966291741,NaN,0.0507325018170644,0.875,1,1,1
18,10,34,44,1,0.22941,0.43457,1,2.109124741,NaN,0.0503707136636109,0.8,1,1,1
19,10,34,44,1,0.20882,0.76544,1,3.021833207,NaN,0.0500368050726284,0.7,1,1,1
20,8,7,15,1,0.25,-0.33949,0,NaN,NaN,NaN,0.5,0.625,0.125,0.75
21,10,22,32,1,0.24091,0.43217,1,2.146984895,NaN,0.0502885132786306,0.8,1,1,1
22,12,36,48,1,0.27778,0.13647,0,1.255793543,0.0482739024762055,0.0481563821739496,1,1,1,1
23,11,33,44,1,0.2865,0.24178,1,1.446979548,0.0477481177191525,0.0477009886013305,1,1,1,1
24,9,31,40,1,0.22222,0.65717,1,2.883629632,NaN,0.0497023183791996,0.777777777777778,1,1,1
25,10,34,44,1,0.26471,0.22098,1,1.509456274,NaN,0.0508187817954503,0.9,1,1,1
26,9,18,27,1,0.20988,0.65589,1,3.748344056,NaN,0.0406531969776013,0.555555555555556,0.888888888888889,0.666666666666667,1
27,10,32,42,1,0.28125,0.17997,0,1.40448532,0.0485993057590181,0.0484070258286332,1,1,1,1
28,10,27,37,1,0.24074,0.63769,1,2.483756306,NaN,NaN,0.6,0.9,1,1
29,10,38,48,1,0.26579,0.46484,1,1.896028832,NaN,0.0503684401878827,0.9,1,1,1
30,9,40,49,1,0.26944,0.46935,1,1.95886734,NaN,0.0506765466253249,0.777777777777778,1,1,1
31,12,36,48,1,0.32407,0.3009,1,1.357264096,NaN,0.0500253868081714,0.916666666666667,1,1,1
32,11,25,36,1,0.24364,0.19059,0,1.573411428,NaN,0.0513212573348458,0.909090909090909,1,1,1
33,11,36,47,1,0.27273,0.24911,1,1.436275817,0.0499069437570927,0.049640772187,1,1,1,1
34,10,35,45,1,0.32286,0.54263,1,1.850126953,NaN,0.0492769643418789,0.8,1,1,1
35,9,36,45,1,0.28704,0.62478,1,2.207324587,NaN,0.0492490381838186,0.888888888888889,1,1,1
36,8,33,41,1,0.24621,0.62092,1,2.706903606,0.0499263503335346,0.0495335950644727,1,1,1,1
37,10,28,38,1,0.225,0.28441,1,1.847134786,NaN,0.0505333806704501,0.9,1,1,1
38,11,31,42,1,0.24047,0.26475,1,1.609024935,NaN,0.0474156599953523,0.909090909090909,1,1,1
39,11,22,33,1,0.19008,0.50046,1,2.610753563,NaN,0.0517467457566174,0.727272727272727,1,1,1
40,12,37,49,1,0.24099,0.4944,1,1.870743087,NaN,0.0497034623219415,0.916666666666667,1,1,1
41,12,29,41,1,0.27299,0.38579,1,1.661279145,NaN,0.0510005797830695,0.833333333333333,1,1,1
42,10,40,50,1,0.235,0.63419,1,2.473771538,NaN,0.0512851384123338,0.9,1,1,1
43,9,34,43,1,0.29412,0.27297,1,1.628560318,NaN,0.0499270874598679,0.888888888888889,1,1,1
44,11,34,45,1,0.17914,0.77859,1,3.249126602,NaN,0.0513360994593172,0.909090909090909,1,1,1
45,11,34,45,1,0.21925,0.74459,1,2.660983468,NaN,0.0474879522898964,0.727272727272727,1,1,1
46,10,39,49,1,0.30256,0.039207,0,1.115638629,0.0494325255965916,0.0493153494202122,1,1,1,1
47,10,32,42,1,0.275,0.36006,1,1.686097252,0.0513012690447134,0.0510127240346949,1,1,1,1
48,11,13,24,1,0.26573,0.55284,1,2.43659,NaN,0.0482868788174128,0.636363636363636,1,1,1
49,11,21,32,1,0.30736,0.26865,1,1.579492015,NaN,0.0504496589967666,0.818181818181818,1,1,1
50,10,31,41,1,0.26774,0.37874,1,1.803097666,NaN,0.0511723635216504,0.8,1,1,1
51,11,24,35,1,0.16288,0.57455,1,3.849809868,NaN,NaN,0.454545454545455,0.818181818181818,1,1
52,9,36,45,1,0.22222,0.70642,1,2.953847355,0.0521232596675803,0.0511125763225407,1,1,1,1
53,12,31,43,1,0.26344,0.28522,1,1.526672648,NaN,0.0521672753347216,0.916666666666667,1,1,1
54,12,23,35,1,0.21014,0.33013,1,1.943704599,NaN,0.0486141852813061,0.833333333333333,1,1,1
55,11,32,43,1,0.27273,0.41773,1,1.786498789,NaN,NaN,0.818181818181818,0.909090909090909,1,1
56,10,35,45,1,0.26,0.27378,1,1.60086342,0.0508077159755969,0.050182561166908,1,1,1,1
57,12,35,47,1,0.25952,0.32299,1,1.552455224,0.0501155095455225,0.0500139178669497,1,1,1,1
